2015-08-14 01:00:00,1,1.0,21.4,2.7,南西,,///,///
2015-08-14 02:00:00,2,2.0,21.3,2.9,南南西,,///,///
2015-08-14 03:00:00,3,0.0,21.2,3.0,南南西,,///,///
2015-08-14 04:00:00,4,0.0,20.9,2.5,南南西,,///,///
2015-08-14 05:00:00,5,0.0,20.7,2.6,南西,,///,///
2015-08-14 06:00:00,6,0.0,20.4,0.5,西南西,0.0,///,///
2015-08-14 07:00:00,7,0.0,20.8,2.6,南西,0.0,///,///
2015-08-14 08:00:00,8,0.0,21.3,3.5,南西,0.0,///,///
2015-08-14 09:00:00,9,0.0,22.8,2.1,西南西,0.1,///,///
2015-08-14 10:00:00,10,0.0,23.7,3.0,南西,0.1,///,///
2015-08-14 11:00:00,11,0.0,25.3,3.1,南西,0.4,///,///
2015-08-14 12:00:00,12,0.0,26.3,2.8,西南西,0.8,///,///
2015-08-14 13:00:00,13,0.0,26.7,2.6,南西,0.6,///,///
2015-08-14 14:00:00,14,0.0,27.4,3.8,西南西,0.8,///,///
2015-08-14 15:00:00,15,0.0,27.5,3.1,西南西,1.0,///,///
2015-08-14 16:00:00,16,0.0,26.5,3.5,西南西,0.9,///,///
2015-08-14 17:00:00,17,0.0,26.1,3.1,南西,0.6,///,///
2015-08-14 18:00:00,18,0.0,25.3,2.3,西南西,0.6,///,///
2015-08-14 19:00:00,19,0.0,23.5,2.7,西南西,0.0,///,///
2015-08-14 20:00:00,20,0.0,22.5,1.2,南西,0.0,///,///
2015-08-14 21:00:00,21,0.0,21.6,0.0,静穏,,///,///
2015-08-14 22:00:00,22,0.0,20.9,0.9,南西,,///,///
2015-08-14 23:00:00,23,0.0,20.3,0.4,南南西,,///,///
2015-08-15 00:00:00,24,0.0,20.1,0.1,静穏,,///,///
2015-08-15 01:00:00,1,0.0,19.9,0.2,静穏,,///,///
2015-08-15 02:00:00,2,0.0,19.3,0.5,東,,///,///
2015-08-15 03:00:00,3,0.0,19.7,0.2,静穏,,///,///
2015-08-15 04:00:00,4,0.0,19.9,0.2,静穏,,///,///
2015-08-15 05:00:00,5,0.0,19.8,0.0,静穏,,///,///
2015-08-15 06:00:00,6,0.0,19.5,0.9,北東,0.0,///,///
2015-08-15 07:00:00,7,0.0,19.5,1.4,東,0.0,///,///
2015-08-15 08:00:00,8,0.0,20.6,1.6,東北東,0.0,///,///
2015-08-15 09:00:00,9,0.0,22.7,1.3,東北東,0.6,///,///
2015-08-15 10:00:00,10,0.0,25.4,1.4,北西,1.0,///,///
2015-08-15 11:00:00,11,0.0,27.5,1.2,北北東,1.0,///,///
2015-08-15 12:00:00,12,0.0,29.2,1.7,北西,1.0,///,///
2015-08-15 13:00:00,13,0.0,29.2,1.8,北西,0.5,///,///
2015-08-15 14:00:00,14,0.0,28.7,1.2,北北東,0.7,///,///
2015-08-15 15:00:00,15,0.0,29.6,2.9,西南西,0.7,///,///
2015-08-15 16:00:00,16,0.0,29.2,3.3,西南西,1.0,///,///
2015-08-15 17:00:00,17,0.0,27.9,4.5,南西,0.8,///,///
2015-08-15 18:00:00,18,0.0,26.4,2.3,南西,0.8,///,///
2015-08-15 19:00:00,19,0.0,24.5,2.6,南西,0.1,///,///
2015-08-15 20:00:00,20,0.0,23.4,1.4,南西,0.0,///,///
2015-08-15 21:00:00,21,0.0,21.5,0.4,南南西,,///,///
2015-08-15 22:00:00,22,0.0,20.8,0.3,南東,,///,///
2015-08-15 23:00:00,23,0.0,20.9,1.3,南東,,///,///
2015-08-16 00:00:00,24,0.0,21.2,0.4,西南西,,///,///
2015-08-16 01:00:00,1,0.0,21.4,0.9,北東,,///,///
2015-08-16 02:00:00,2,0.0,21.4,0.4,東,,///,///
2015-08-16 03:00:00,3,0.0,21.3,0.0,静穏,,///,///
2015-08-16 04:00:00,4,0.0,21.3,0.7,北西,,///,///
2015-08-16 05:00:00,5,0.0,21.2,0.1,静穏,,///,///
2015-08-16 06:00:00,6,0.0,21.2,0.5,東,0.0,///,///
2015-08-16 07:00:00,7,0.0,21.6,0.8,北東,0.0,///,///
2015-08-16 08:00:00,8,0.0,23.5,1.8,北東,0.0,///,///
2015-08-16 09:00:00,9,0.0,24.1,3.3,東北東,0.1,///,///
